Location(x=118.266525, y=75.680412, z=0.158620)
Location(x=63.580299, y=79.674606, z=0.158620)
Location(x=-2.240322, y=149.664291, z=0.158620)
Location(x=91.465294, y=81.790596, z=0.158620)
Location(x=-112.156174, y=-55.690647, z=0.158620)
Location(x=93.657486, y=86.691452, z=0.158620)
Location(x=-89.289810, y=101.030022, z=0.158620)
Location(x=89.901604, y=-7.723094, z=0.158620)
Location(x=1.668854, y=3.110063, z=0.158620)
Location(x=-66.511673, y=4.849932, z=0.158620)
Location(x=109.332092, y=122.612297, z=0.158620)
Location(x=-16.043890, y=121.739838, z=0.165323)
Location(x=21.423149, y=77.748932, z=0.158620)
Location(x=14.285307, y=149.726883, z=0.158620)
Location(x=-65.905937, y=3.161709, z=0.158620)
Location(x=10.487350, y=-50.358295, z=0.158620)
Location(x=-61.504295, y=-3.431000, z=0.158620)
Location(x=-4.298277, y=77.930008, z=0.158620)
Location(x=-4.093880, y=-77.749733, z=0.158620)
Location(x=118.118011, y=-8.054474, z=0.158620)
Location(x=24.376438, y=6.434830, z=0.158620)
Location(x=-95.861542, y=-25.586674, z=0.158620)
Location(x=50.545013, y=78.074005, z=0.158620)
Location(x=18.983452, y=150.085678, z=0.158620)
Location(x=-83.650017, y=-46.438309, z=0.158620)
Location(x=-5.187509, y=3.752248, z=0.158620)
Location(x=-76.817543, y=146.794769, z=0.158620)
Location(x=115.145798, y=78.517715, z=0.158620)
Location(x=116.118935, y=19.659796, z=0.158620)
Location(x=78.607513, y=79.791687, z=0.158620)
Location(x=90.319855, y=-4.287649, z=0.158620)
Location(x=62.706341, y=-75.494873, z=0.158620)
Location(x=27.186508, y=149.056030, z=0.158620)
Location(x=-11.087852, y=124.599701, z=0.158620)
Location(x=81.487602, y=113.738144, z=0.158620)
Location(x=5.839879, y=2.880026, z=0.158620)
Location(x=-92.128922, y=-33.036480, z=0.158620)
Location(x=56.780666, y=57.391495, z=0.158620)
Location(x=2.810102, y=146.172684, z=0.158620)
Location(x=57.209393, y=121.339767, z=0.158620)
Location(x=37.917252, y=-75.134789, z=0.158620)
Location(x=89.022354, y=-4.088390, z=0.158620)
Location(x=-63.813011, y=-78.771713, z=0.158620)
Location(x=-35.233017, y=92.062897, z=0.158620)
Location(x=52.640553, y=148.408203, z=0.158620)
Location(x=15.494114, y=77.282654, z=0.158620)
Location(x=28.285030, y=121.122200, z=0.158620)
Location(x=-22.160627, y=121.606865, z=0.160169)
Location(x=91.319656, y=49.166145, z=0.158620)
Location(x=90.177513, y=-69.755936, z=0.158620)
Location(x=-80.200394, y=-75.766953, z=0.158620)
Location(x=114.122879, y=-36.800842, z=0.158620)
Location(x=38.628174, y=77.641647, z=0.158620)
Location(x=-73.884605, y=146.142212, z=0.158620)
Location(x=81.937157, y=116.706963, z=0.158620)
Location(x=31.688047, y=53.737144, z=0.158620)
Location(x=116.616676, y=46.128677, z=0.158620)
Location(x=-121.543015, y=67.117859, z=0.158620)
Location(x=28.284645, y=3.124649, z=0.158620)
Location(x=74.418976, y=6.568200, z=0.158620)
Location(x=-97.880333, y=80.485474, z=0.158620)
Location(x=17.486843, y=146.918762, z=0.158620)
Location(x=113.593132, y=-47.235931, z=0.158620)
Location(x=54.605186, y=77.797119, z=0.158620)
Location(x=-118.566574, y=-29.451944, z=0.158620)
Location(x=-41.599380, y=-76.314049, z=0.158620)
Location(x=92.271912, y=86.536087, z=0.158620)
Location(x=100.663826, y=134.721146, z=0.158620)
Location(x=-34.824863, y=-20.571148, z=0.158620)
Location(x=-26.165241, y=34.397583, z=0.158620)
Location(x=91.612930, y=-8.412140, z=0.158620)
Location(x=68.437607, y=3.554092, z=0.158620)
Location(x=-57.511089, y=-25.032616, z=0.158620)
Location(x=-123.929443, y=37.387535, z=0.158620)
Location(x=82.480408, y=-46.087006, z=0.158620)
Location(x=31.203718, y=-50.929161, z=0.158620)
Location(x=-68.481606, y=-52.439625, z=0.158620)
Location(x=-90.757645, y=-70.731194, z=0.158620)
Location(x=-124.179443, y=80.482536, z=0.158620)
Location(x=116.295456, y=49.017296, z=0.158620)
Location(x=-75.382141, y=-77.954025, z=0.158620)
Location(x=-96.585976, y=-22.283350, z=0.158620)
Location(x=70.294769, y=37.299744, z=0.158620)
Location(x=-95.855469, y=95.182335, z=0.158620)
Location(x=-25.335836, y=34.425552, z=0.158620)
Location(x=-35.866684, y=-77.156395, z=0.158620)
Location(x=11.393246, y=147.887726, z=0.158620)
Location(x=-60.776009, y=74.188416, z=0.168620)
Location(x=-83.042007, y=5.006544, z=0.158620)
Location(x=96.812744, y=136.042267, z=0.158620)
Location(x=77.905128, y=117.667297, z=0.158620)
Location(x=-119.655296, y=68.953117, z=0.158620)
Location(x=-30.987438, y=123.193123, z=0.158620)
Location(x=78.173584, y=-74.113297, z=0.158620)
Location(x=-81.492004, y=34.019646, z=0.158620)
Location(x=1.918590, y=-50.767941, z=0.158620)
Location(x=116.956612, y=73.899887, z=0.158620)
Location(x=17.330084, y=3.162699, z=0.158620)
Location(x=-98.493080, y=69.014778, z=0.158620)
Location(x=8.858607, y=-48.539993, z=0.158620)
Location(x=-34.054249, y=-36.538181, z=0.158620)
Location(x=118.731697, y=42.587418, z=0.158620)
Location(x=-58.257622, y=-48.458885, z=0.158620)
Location(x=-119.220016, y=-38.010002, z=0.158620)
Location(x=-58.308952, y=94.333847, z=0.158620)
Location(x=34.827297, y=125.203407, z=0.158620)
Location(x=2.283098, y=-77.189575, z=0.158620)
Location(x=-22.647120, y=-76.985504, z=0.158620)
Location(x=-75.355560, y=120.801857, z=0.158620)
Location(x=-35.124786, y=-3.511749, z=0.158620)
Location(x=53.587868, y=2.599540, z=0.158620)
Location(x=-70.074173, y=-50.291706, z=0.158620)
